patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
SORCS3	5.059788027	5.19764051	5.290809695	5.472602843	5.375324691	5.241239335	5.606828607	5.571467262	5.204814411	5.404912832	5.438690061	5.556174704	5.107753869
WISP1	5.569174529	5.563058707	5.532914687	5.340563296	5.333016394	5.297033768	5.493054928	5.544409752	5.267149608	5.517335288	5.227789675	5.611991805	5.434291949
KRT12	5.512799917	5.412470247	5.434605468	5.426957187	5.410369222	5.531482152	5.765870324	5.621076379	5.276293763	5.575267237	5.294951704	5.56504287	5.326716203
TRPM4	10.44328132	8.181602772	8.503957288	8.999799124	7.417589699	8.306039959	7.38021365	7.259832115	9.311300889	8.355286466	10.13967934	7.606874353	8.983844673
BP423917	5.378589235	5.516513283	5.675061642	5.483670919	5.467244415	5.450591665	5.291761698	5.329925551	5.480492777	5.485816083	5.478772277	5.213377221	5.642887159
ASB8	7.750084537	7.274233262	7.530322996	8.010941341	7.27124031	7.195725444	6.782896162	7.801687106	7.176655906	6.982002686	6.916448057	7.475435586	7.476809005
USP51	5.653237294	5.502930823	5.344021402	5.235072291	5.294552	5.514764973	5.407121858	5.322864394	5.282232891	5.379204355	5.442840106	5.423133201	5.349680083
KCNMB4	7.938609127	6.081334139	6.46447054	6.10966727	6.328400745	6.96407722	5.801523054	6.98690259	5.575161944	7.947257619	6.508259705	6.496674934	6.263015333
SYCP2	5.734665132	6.415293989	6.182236844	6.94917589	6.017929535	5.981415266	6.725304238	5.660904296	5.525731992	5.378669422	5.682788059	5.431828042	6.958980545
DEFA1	5.173444033	5.310912346	5.364584321	5.299491234	5.305941479	5.304758255	5.316385595	5.377585562	5.127166128	5.480888257	5.233582452	6.995849954	5.247324002
LACE1	5.323965854	5.640830062	5.47013473	5.433806618	5.797991506	5.493941159	5.311069493	5.581030025	5.49931571	5.279140666	5.37288993	5.633618993	5.457488501
BF680789	5.393567269	5.263573914	5.404169866	5.304158589	5.343982158	5.159420926	5.174797114	5.216609345	5.109239924	5.47192584	5.782130459	5.297817571	5.429687605
AI823397	5.404804451	5.492682985	5.489540369	5.197328201	5.374961428	5.400618493	5.467510181	5.342898107	5.651864696	5.502993775	5.392505282	5.524383536	5.31667722
